Marque,Description,Liens,tags
Aspen,Code promo : LESDAMOISEAUX10,https://www.aspen-clothing.com, Style sartorial
MesChaussettesRouges,Code promo : DAMOISEAUX10,https://meschaussettesrouges.com/, Pour tous les style,
Lanieri,Code promo : LSDMSX10,https://lanieri.com/fr/,Style sartorial,
Atelier Privé,De belles chemises pour tout les styles. Code promo : LESDAMOISEAUX10, https://www.atelierprive.com/, Tous styles
Ralph Lauren,Pantalons costumes chemises ... ,https://www.ralphlauren.fr/fr/hommes/10,Style ivy league
J.Crew,Pantalons costumes chemises ... ,https://www.jcrew.com/fr/mens,Style ivy league
Scavini,Pantalons costumes chemises ... ,https://www.scavini.fr/,Style sartorial
Haast,De très belles chemises ,https://www.hast.fr/fr/,Style sartorial
Pini Parma,Très bon patalons,https://www.piniparma.com,Style sartorial
Burberry,Le style anglais classique,https://fr.burberry.com/homme/,Style casual chic
Barbour,C'est LA veste du parfait gentleman farmer,https://www.barbour.com, Style countryside
Suit Supply,Des costumes d'entée de gamme avec une coupe moderne,https://suitsupply.com/fr-fr,Style casual chic et sartorial
Massimo Dutti,C'est l'alternative par excellence aux marques de fast fashion. Les pièces sont légèrement plus chères mais sont de meilleure qualité.,https://www.massimodutti.com/fr/homme-n1343,Style casual chic
COS,L'élégance à prix raisonné,https://www.cos.com/fr_fr/men.html,Style casual chic
Reiss,L'élégance à prix raisonné,https://www.reiss.com/fr/fr/mens,Style casual chic
Mango,Le casual chic à prix correct,https://shop.mango.com/fr/homme,Style casual chic
Byredo, Parfum,https://www.byredo.com/eu_fr/, Parfumerie de niche
Colection Privé Dior,Parfum,https://www.dior.com/fr_fr/beauty/fragrance/discover-the-collection.html, Parfumerie de niche
L'artisan parfumeur,Parfum, https://www.artisanparfumeur.fr/, Parfumerie de niche
Le Labo, Parfum,https://www.lelabofragrances.com/fr/classic-collection.html, Parfumerie de niche
Maison Francis Kurkdjian, Parfum,https://www.franciskurkdjian.com/eu-fr/DiscoverAllFragrances.html, Parfumerie de niche
BDK parfums,Parfum,https://bdkparfums.com/fr_fr/#bdk, Parfumerie de niche
Diptyque,Parfum,https://www.diptyqueparis.com/fr_fr/l/parfums.html,Parfumerie de niche
